retailer,retailer_name,matches,matched_zips,walmart_lower_count,competitor_lower_count,parity_count,walmart_lower_rate,competitor_lower_rate,parity_rate,median_pack_gap,median_unit_gap_per_dozen
albertsons.com,Albertsons,1928,158,1768,160,0,0.91701244813278,0.08298755186721991,0.0,1.83,1.346666666666667
aldi.us,ALDI,4724,1543,2153,2571,0,0.45575783234546996,0.54424216765453,0.0,-0.020000000000000018,-0.020000000000000018
amazon.com,Amazon,5037,1307,3622,1297,118,0.7190788167560056,0.25749454040103237,0.02342664284296208,0.43999999999999995,0.41999999999999993
gianteagle.com,Giant Eagle,397,56,302,95,0,0.760705289672544,0.23929471032745592,0.0,0.020000000000000018,0.020000000000000018
heb.com,H-E-B,1519,165,1519,0,0,1.0,0.0,0.0,0.19999999999999996,0.13000000000000034
kroger.com,Kroger,78,21,73,5,0,0.9358974358974359,0.0641025641025641,0.0,2.8200000000000003,2.8200000000000003
meijer.com,Meijer,706,144,360,346,0,0.509915014164306,0.49008498583569404,0.0,0.020000000000000018,0.01333333333333342
safeway.com,Safeway,2432,251,2018,414,0,0.8297697368421053,0.17023026315789475,0.0,2.12,1.5200000000000002
samsclub.com,Sam's Club,78,78,74,4,0,0.9487179487179487,0.05128205128205128,0.0,1.3400000000000007,0.26800000000000024
shoprite.com,ShopRite,504,71,454,50,0,0.9007936507936508,0.0992063492063492,0.0,1.83,1.83
target.com,Target,2740,996,2505,235,0,0.9142335766423357,0.08576642335766424,0.0,1.2300000000000004,1.2300000000000004
traderjoes.com,Trader Joe's,129,129,91,38,0,0.7054263565891473,0.29457364341085274,0.0,2.25,2.249999999999999
wegmans.com,Wegmans,341,50,341,0,0,1.0,0.0,0.0,0.1499999999999999,0.1499999999999999
