id,created_at,Store_No,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Provider,Status,Country,mc_location_id
11356,2026-07-17T18:14:34.665Z,440-035,"Aldi, Harwood Heights",41.965491,-87.806099,"4703 N Harlem, Harwood Heights, IL, 60706",4703 N Harlem,Harwood Heights,IL,60706,,,ALDI,active,USA,1312593
12764,2026-07-17T18:14:37.179Z,440-036,"Aldi, Villa Park",41.90584,-87.989422,"400 W North Avenue, Villa Park, IL, 60181",400 W North Avenue,Villa Park,IL,60181,,,ALDI,active,USA,1312588
10362,2026-07-17T18:14:31.811Z,440-037,"Aldi, Algonquin",42.158693,-88.336505,"1100 South Randall Road, Algonquin, IL, 60102",1100 South Randall Road,Algonquin,IL,60102,,,ALDI,active,USA,1312594
11053,2026-07-17T18:14:33.514Z,440-038,"Aldi, Elgin",42.02722,-88.337026,"215 South Randall Road, Elgin, IL, 60123",215 South Randall Road,Elgin,IL,60123,,,ALDI,active,USA,1312693
12378,2026-07-17T18:14:36.487Z,440-039,"Aldi, Rochelle",41.937165,-89.067594,"1251 N Seventh St, Rochelle, IL, 61068",1251 N Seventh St,Rochelle,IL,61068,,,ALDI,active,USA,1312585
11971,2026-07-17T18:14:35.837Z,440-040,"Aldi, N. Aurora",41.808895,-88.351792,"199 Miller Drive, N Aurora, IL, 60542",199 Miller Drive,N Aurora,IL,60542,,,ALDI,active,USA,1314046
12010,2026-07-17T18:14:35.837Z,440-041,"Aldi, Niles",42.012709,-87.783145,"6250 W Touhy Ave, Niles, IL, 60714",6250 W Touhy Ave,Niles,IL,60714,,,ALDI,active,USA,1312672
10466,2026-07-17T18:14:31.811Z,440-042,"Aldi, Batavia",41.858499,-88.342775,"451 N Randall, Batavia, IL, 60510",451 N Randall,Batavia,IL,60510,,,ALDI,active,USA,1312700
12610,2026-07-17T18:14:36.877Z,440-043,"Aldi, St. Charles",41.913547,-88.347477,"2670 W Main Street, St Charles, IL, 60174",2670 W Main Street,St Charles,IL,60174,,,ALDI,active,USA,1314444
11818,2026-07-17T18:14:35.558Z,440-044,"Aldi, Melrose Park",41.909898,-87.849149,"1345 W North Ave, Melrose Park, IL, 60160",1345 W North Ave,Melrose Park,IL,60160,,,ALDI,active,USA,1312584
10963,2026-07-17T18:14:33.514Z,440-046,"Aldi, Dekalb",41.954014,-88.720642,"2540 Sycamore Road, Dekalb, IL, 60115",2540 Sycamore Road,Dekalb,IL,60115,,,ALDI,active,USA,1312665
12641,2026-07-17T18:14:36.877Z,440-047,"Aldi, Sugar Grove",41.7757,-88.443569,"11 W Park Ave, Sugar Grove, IL, 60554",11 W Park Ave,Sugar Grove,IL,60554,,,ALDI,active,USA,1314032
11257,2026-07-17T18:14:34.070Z,440-048,"Aldi, Glenview",42.102006,-87.810999,"2195 Willow Road, Glenview, IL, 60025",2195 Willow Road,Glenview,IL,60025,,,ALDI,active,USA,1312675
12030,2026-07-17T18:14:35.837Z,440-049,"Aldi, Northlake",41.907506,-87.906507,"50 W North Avenue, Northlake, IL, 60164",50 W North Avenue,Northlake,IL,60164,,,ALDI,active,USA,1312694
11052,2026-07-17T18:14:33.514Z,440-050,"Aldi, Elgin",42.045053,-88.260462,"799 Summit St, Elgin, IL, 60120",799 Summit St,Elgin,IL,60120,,,ALDI,active,USA,1312640
10617,2026-07-17T18:14:32.256Z,440-051,"Aldi, Buffalo Grove",42.140182,-87.985854,"1202 W Dundee Road, Buffalo Grove, IL, 60089",1202 W Dundee Road,Buffalo Grove,IL,60089,,,ALDI,active,USA,1314027
10440,2026-07-17T18:14:31.811Z,440-052,"Aldi, Aurora",41.765583,-88.372279,"2275 W Galena Blvd, Aurora, IL, 60506",2275 W Galena Blvd,Aurora,IL,60506,,,ALDI,active,USA,1312623
11693,2026-07-17T18:14:35.092Z,440-053,"Aldi, Lisle",41.785079,-88.072902,"5525 Route 53, Lisle, IL, 60532",5525 Route 53,Lisle,IL,60532,,,ALDI,active,USA,1312656
12392,2026-07-17T18:14:36.487Z,440-054,"Aldi, Rockford",42.3163664,-89.11173346,"3801 W Riverside Blvd, Rockford, IL, 61101",3801 W Riverside Blvd,Rockford,IL,61101,,,ALDI,active,USA,1312695
10412,2026-07-17T18:14:31.811Z,440-055,"Aldi, Arlington Heights",42.051902,-87.975653,"550 East Golf Road, Arlington Heights, IL, 60005",550 East Golf Road,Arlington Heights,IL,60005,,,ALDI,active,USA,1314041
12548,2026-07-17T18:14:36.877Z,440-057,"Aldi, Skokie",42.024936,-87.748591,"4833 Oakton Street, Skokie, IL, 60077",4833 Oakton Street,Skokie,IL,60077,,,ALDI,active,USA,1314042
10774,2026-07-17T18:14:32.770Z,440-058,"Aldi, Chicago",41.961048,-87.689894,"2431 West Montrose, Chicago, IL, 60618",2431 West Montrose,Chicago,IL,60618,,,ALDI,active,USA,1312577
11196,2026-07-17T18:14:34.070Z,440-059,"Aldi, Freeport",42.280963,-89.629853,"726 W South St, Freeport, IL, 61032",726 W South St,Freeport,IL,61032,,,ALDI,active,USA,1312574
11437,2026-07-17T18:14:34.665Z,440-061,"Aldi, Huntley",42.150402,-88.434005,"12300 Princeton Drive, Huntley, IL, 60142",12300 Princeton Drive,Huntley,IL,60142,,,ALDI,active,USA,1312536
10762,2026-07-17T18:14:32.770Z,440-062,"Aldi, Chicago",41.994404,-87.699891,"6220 N California, Chicago, IL, 60659",6220 N California,Chicago,IL,60659,,,ALDI,active,USA,1312175
11392,2026-07-17T18:14:34.665Z,440-063,"Aldi, Hoffman Estates",42.046139,-88.087768,"375 W Higgins Rd, Hoffman Estates, IL, 60169",375 W Higgins Rd,Hoffman Estates,IL,60169,,,ALDI,active,USA,1312017
10769,2026-07-17T18:14:32.770Z,440-064,"Aldi, Chicago",41.913896,-87.68176,"1753 N Milwaukee Ave, Chicago, IL, 60647",1753 N Milwaukee Ave,Chicago,IL,60647,,,ALDI,active,USA,1312016
10757,2026-07-17T18:14:32.770Z,440-065,"Aldi, Chicago",41.99495,-87.66041,"6221 N Broadway, Chicago, IL, 60660",6221 N Broadway,Chicago,IL,60660,,,ALDI,active,USA,1312177
