matches,unique_zips,walmart_lower,competitor_lower,parity,walmart_lower_rate,competitor_lower_rate,parity_rate,median_pack_gap,mean_pack_gap,median_gap_per_lb,mean_gap_per_lb,competitor,segment
2776,1393,2775,1,0,0.9996397694524496,0.00036023054755043225,0.0,0.52,0.4567939481268012,0.52,0.3784221902017291,ALDI,All strict same-weight segments
1304,1304,1303,1,0,0.9992331288343558,0.0007668711656441718,0.0,0.16999999999999993,0.16980061349693246,0.16999999999999993,0.16980061349693246,ALDI,Conventional whole strawberries — 1 lb
1176,1176,1176,0,0,1.0,0.0,0.0,0.52,0.52,0.52,0.52,ALDI,Organic whole strawberries — 1 lb
296,296,296,0,0,1.0,0.0,0.0,1.4700000000000006,1.4700000000000006,0.7350000000000003,0.7350000000000003,ALDI,Conventional whole strawberries — 2 lb
1856,1022,848,496,512,0.45689655172413796,0.2672413793103448,0.27586206896551724,0.009999999999999787,0.4675000000000002,0.009999999999999787,0.33564924568965526,Amazon,All strict same-weight segments
630,630,193,437,0,0.30634920634920637,0.6936507936507936,0.0,-0.3899999999999999,0.05401587301587314,-0.3899999999999999,0.05401587301587314,Amazon,Conventional whole strawberries — 1 lb
729,729,187,30,512,0.25651577503429357,0.0411522633744856,0.7023319615912208,0.009999999999999787,0.4721810699588476,0.009999999999999787,0.4721810699588476,Amazon,Organic whole strawberries — 1 lb
497,497,468,29,0,0.9416498993963782,0.05835010060362173,0.0,0.8000000000000007,0.9847686116700208,0.40000000000000036,0.4923843058350104,Amazon,Conventional whole strawberries — 2 lb
