competitor,comparison_mode,segment,matches,walmart_lower,competitor_lower,parity,walmart_lower_rate,competitor_lower_rate,parity_rate,median_gap_per_gallon,mean_gap_per_gallon
Amazon,equivalent,52 fl oz | 2% | Chocolate | Lactose-Free | Ultra-Filtered,50,11,0,39,0.22,0.0,0.78,0.0,0.11372307692307676
Amazon,equivalent,32 fl oz | Whole,48,19,29,0,0.3958333333333333,0.6041666666666666,0.0,-0.3199999999999994,-0.558333333333333
Amazon,equivalent,32 fl oz | 2%,26,21,5,0,0.8076923076923077,0.19230769230769232,0.0,37.96,33.55538461538462
Amazon,equivalent,Half Gallon | 1%,16,5,11,0,0.3125,0.6875,0.0,-0.8199999999999998,-0.585
Amazon,equivalent,Half Gallon | Whole | Organic | Lactose-Free,7,2,5,0,0.2857142857142857,0.7142857142857143,0.0,-1.2799999999999994,-1.4228571428571422
Amazon,equivalent,16 fl oz | Whole,6,2,4,0,0.3333333333333333,0.6666666666666666,0.0,-1.4400000000000013,0.2933333333333324
Amazon,equivalent,Half Gallon | Skim/Fat-Free,4,2,2,0,0.5,0.5,0.0,0.17999999999999994,0.42999999999999994
Amazon,equivalent,Half Gallon | 2% | Organic | Omega-3/DHA,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,4.0600000000000005,2.393333333333334
Amazon,equivalent,59 fl oz | 2% | A2,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,1.2366101694915272,0.8244067796610182
Amazon,equivalent,Half Gallon | 1% | Organic,1,1,0,0,1.0,0.0,0.0,1.2199999999999998,1.2199999999999998
Amazon,equivalent,Gallon | 1% | Organic,1,1,0,0,1.0,0.0,0.0,0.1200000000000001,0.1200000000000001
