competitor,brand,matches,walmart_lower_count,competitor_lower_count,parity_count,walmart_lower_rate,competitor_lower_rate,parity_rate,median_gap_per_gallon,mean_gap_per_gallon
Amazon,Lactaid,3082,924,550,1608,0.29980532121998704,0.17845554834523036,0.5217391304347826,0.0,0.13916937053861134
Amazon,Organic Valley,2370,701,1372,297,0.29578059071729956,0.5789029535864979,0.12531645569620253,-0.5399999999999991,-0.4172705428019733
Amazon,fairlife,1531,857,0,674,0.5597648595689092,0.0,0.4402351404310908,0.024615384615383817,0.8989519167964626
Amazon,Horizon Organic,521,131,212,178,0.2514395393474088,0.4069097888675624,0.3416506717850288,0.0,-0.34394515111096635
Amazon,a2 Milk,293,228,16,49,0.7781569965870307,0.05460750853242321,0.16723549488054607,0.6942372881355947,0.6278937930236603
Amazon,Kemps,87,86,1,0,0.9885057471264368,0.011494252873563218,0.0,1.31,1.1856321839080461
Amazon,Darigold,25,8,17,0,0.32,0.68,0.0,-0.16000000000000014,0.35559999999999997
Amazon,Maple Hill,8,8,0,0,1.0,0.0,0.0,1.6705084745762697,1.5891525423728803
