competitor,comparison_mode,matches,unique_zips,walmart_lower,competitor_lower,parity,walmart_lower_rate,competitor_lower_rate,parity_rate,median_gap_per_gallon,mean_gap_per_gallon
ALDI,same_brand,0,0,0,0,0,,,,,
ALDI,private_label,16353,1568,9750,6603,0,0.5962208769033205,0.4037791230966795,0.0,0.7599999999999998,0.43721090931327594
ALDI,equivalent,18028,1568,9763,8265,0,0.5415464832482805,0.4584535167517195,0.0,0.7599999999999998,0.026763368094075944
Amazon,same_brand,7917,1720,2943,2168,2806,0.37173171655930276,0.27384110142730833,0.3544271820133889,0.0,0.11946632261472903
Amazon,private_label,7402,1657,3360,3916,126,0.453931369900027,0.529046203728722,0.017022426371251013,-0.17999999999999972,0.23366657660091877
Amazon,equivalent,16529,1816,8709,5622,2198,0.5268921289854196,0.34012946941738764,0.13297840159719282,0.1200000000000001,0.8926944709322473
